Wavenumber,Intensity,Class
642.1428,14.05538,0
642.6249,14.03437,0
643.107,14.06889,0
643.5891,14.11587,0
644.0712,14.12618,0
644.5533,13.99717,0
645.0355,13.95819,0
645.5176,14.14115,0
645.9997,14.40682,0
646.4818,14.55822,0
646.9639,14.55219,0
647.446,14.47218,0
647.9282,14.33217,0
648.4103,14.18932,0
648.8924,14.1489,0
649.3745,14.21112,0
649.8566,14.28282,0
650.3387,14.31984,0
650.8209,14.32466,0
651.303,14.30529,0
651.7851,14.26491,0
652.2672,14.22389,0
652.7493,14.18939,0
653.2314,14.23509,0
653.7136,14.37281,0
654.1957,14.47982,0
654.6778,14.47974,0
655.1599,14.25908,0
655.642,14.20917,0
656.1241,14.37946,0
656.6063,14.58935,0
657.0884,14.59456,0
657.5705,14.35765,0
658.0526,14.2674,0
658.5347,14.38161,0
659.0168,14.53445,0
659.499,14.47901,0
659.9811,14.31921,0
660.4632,14.29721,0
660.9453,14.46243,0
661.4274,14.5876,0
661.9095,14.42781,0
662.3917,14.17906,0
662.8738,14.10954,0
663.3559,14.39386,0
663.838,14.67118,0
664.3201,14.77263,0
664.8022,14.73965,0
665.2844,14.64108,0
665.7665,14.5452,0
666.2486,14.48962,0
666.7307,14.43175,0
667.2128,14.38011,0
667.6949,14.38289,0
668.1771,14.40307,0
668.6592,14.37651,0
669.1413,14.33251,0
669.6234,14.31271,0
670.1055,14.31135,0
670.5876,14.329,0
671.0698,14.40163,0
671.5519,14.51416,0
672.034,14.55537,0
672.5161,14.48301,0
672.9982,14.367,0
673.4803,14.26342,0
673.9625,14.15081,0
674.4446,14.10789,0
674.9267,14.17513,0
675.4088,14.28956,0
675.8909,14.39222,0
676.373,14.46377,0
676.8552,14.48622,0
677.3373,14.47031,0
677.8194,14.47187,0
678.3015,14.52728,0
678.7836,14.58908,0
679.2657,14.53804,0
679.7479,14.35369,0
680.23,14.20113,0
680.7121,14.25975,0
681.1942,14.42956,0
681.6763,14.54193,0
682.1584,14.53032,0
682.6406,14.48177,0
683.1227,14.50317,0
683.6048,14.56205,0
684.0869,14.57926,0
684.569,14.47559,0
685.0511,14.44246,0
685.5333,14.53715,0
686.0154,14.65026,0
686.4975,14.73738,0
686.9796,14.81598,0
687.4617,14.75849,0
687.9438,14.5233,0
688.426,14.33731,0
688.9081,14.3476,0
689.3902,14.45908,0
689.8723,14.5392,0
690.3544,14.61454,0
690.8365,14.70677,0
691.3187,14.76832,0
691.8008,14.78347,0
692.2829,14.73079,0
692.765,14.69061,0
693.2471,14.68842,0
693.7292,14.69901,0
694.2114,14.67374,0
694.6935,14.63892,0
695.1756,14.72069,0
695.6577,14.75038,0
696.1398,14.70562,0
696.6219,14.62377,0
697.1041,14.56275,0
